OBJECTID,ACCPRKID,STREET_NAME,NUMSPOTS,QUALIFIER,STATUS
10951,AP52,HESTER ST,1,,In Service
10952,AP74,ARGYLE ST,2,,In Service
10953,AP81,BAUER ST,1,,In Service
10954,AP79,BARRINGTON ST,3,Sunday Only,In Service
10955,AP50,DUNDAS ST,2,Sunday Only,In Service
10956,AP48,HAWTHORNE ST,2,,In Service
10957,AP76,ARGYLE ST,1,,In Service
10958,AP69,REGENCY DR,2,,In Service
10959,AP56,QUEEN ST,1,,In Service
10960,AP51,WYSE RD,1,,In Service
10961,AP60,PORTLAND ST,2,,In Service
10962,AP70,ELMWOOD AVE,1,,In Service
10963,AP58,QUEEN ST,1,,In Service
10964,AP82,BEDFORD ROW,2,,In Service
10965,AP77,BARRINGTON ST,2,,In Service
10966,AP53,DUNDAS ST,1,,In Service
10967,AP80,BARRINGTON ST,1,,In Service
10968,AP68,GASTON RD,2,Saturday & Sunday Only,Pending
10969,AP17,BERLIN ST,1,,In Service
10970,AP15,CHARLES ST,2,,In Service
10971,AP18,OXFORD ST,2,8am-6pm Mon-Fri,In Service
10972,AP16,SUMMIT ST,2,,In Service
10973,AP127,VICTORIA RD,1,,In Service
10974,AP110,GRAFTON ST,1,,In Service
10975,AP138,MORRIS ST,1,,In Service
10976,AP90,CATHEDRAL LANE,1,,In Service
10977,AP95,COGSWELL ST,4,,In Service
10978,AP147,ROBIE ST,1,,In Service
10979,AP204,SPRING GARDEN RD,1,,In Service
10980,AP125,SOUTH PARK ST,1,,Out of Service
10981,AP206,UNIVERSITY AVE,3,,In Service
10982,AP132,QUEEN ST,1,,In Service
10983,AP201,LUNDY'S LANE,1,,In Service
10984,AP87,BRUNSWICK ST,1,,In Service
10985,AP200,HENRY ST,3,,In Service
10986,AP104,FENWICK ST,2,,In Service
10987,AP91,CHARLES ST,2,,In Service
10988,AP14,GLADSTONE ST,2,,In Service
10989,AP13,GLADSTONE ST,2,,In Service
10990,AP12,ALMON ST,1,,In Service
10991,AP11,ALMON ST,2,,In Service
10992,AP103,EDWARD ST,1,,In Service
10993,AP156,SACKVILLE ST,1,,In Service
10994,AP102,EDWARD ST,1,,In Service
10995,AP159,MAYNARD ST ,2,,In Service
10996,AP88,CARLTON ST,1,,In Service
10997,AP144,HOLLIS ST,1,,In Service
10998,AP122,INGLIS ST,1,,In Service
10999,AP141,HOLLIS ST,2,,In Service
11000,AP100,DRESDEN ROW,1,,In Service
11001,AP99,DRESDEN ROW,1,,In Service
11002,AP145,HOLLIS ST,2,,In Service
11003,AP119,LEMARCHANT ST,2,,In Service
11004,AP134,SPRING GARDEN RD,1,,In Service
11005,AP108,GRAFTON ST,2,,In Service
11006,AP111,GRAFTON ST,1,,In Service
11007,AP36,DUNCAN ST,2,,In Service
11008,AP25,ALMON ST,2,,In Service
11009,AP44,PARKER ST,4,,In Service
11010,AP32,SEBASTIAN ST,5,Sunday Only,In Service
11011,AP37,ALLAN ST,1,,In Service
11012,AP20,NORTHWOOD TERR,3,,In Service
11013,AP39,BEECH ST,1,,In Service
11014,AP35,ALMON ST,4,,In Service
11015,AP29,VEITH ST,1,,In Service
11016,AP40,CAMBRIDGE ST,1,,In Service
11017,AP19,GOTTINGEN ST,1,,In Service
11018,AP46,OXFORD ST,1,,In Service
11019,AP27,KAYE ST,1,,In Service
11020,AP21,CREIGHTON ST,1,,In Service
11021,AP24,AGRICOLA ST,1,,In Service
11022,AP26,SULLIVAN ST,1,,In Service
11023,AP38,KLINE ST,1,,In Service
11024,AP22,BUDDY DAYE ST,2,,In Service
11025,AP45,OXFORD ST,2,,In Service
11026,AP23,CREIGHTON ST,1,,In Service
11027,AP30,HIGHLAND AVE,2,,In Service
11028,AP33,KANE ST,1,,In Service
11029,AP31,NORMANDY DR,2,,In Service
11030,AP47,OXFORD ST,3,,In Service
11031,AP43,QUINGATE PL,1,,In Service
11032,AP28,KAYE ST,1,,In Service
11033,AP54,DUNDAS ST,1,,In Service
11034,AP78,BARRINGTON ST,1,,In Service
11035,AP83,BIRMINGHAM ST,1,,In Service
11036,AP61,PORTLAND ST,1,,In Service
11037,AP66,EDWARD ST,1,,In Service
11038,AP62,NORTH ST,1,,In Service
11039,AP59,PORTLAND ST,1,,In Service
11040,AP57,QUEEN ST,1,,In Service
11041,AP75,ARGYLE ST,1,,In Service
11042,AP72,ARGYLE ST,1,,In Service
11043,AP65,PRINCE ST,1,,In Service
11044,AP73,ARGYLE ST,1,,In Service
11045,AP64,VICTORIA RD,1,,In Service
11046,AP123,INGLIS ST,1,,In Service
11047,AP205,SUMMER ST,2,,In Service
11048,AP151,GRANVILLE ST,1,,In Service
11049,AP120,LEMARCHANT ST,2,,In Service
11050,AP106,FRANCKLYN ST,2,,In Service
11051,AP107,GOTTINGEN ST,2,,In Service
11052,AP113,WELLS ST,1,,In Service
11053,AP142,HOLLIS ST,1,,In Service
11054,AP89,CARMICHAEL ST,4,6am-6pm Mon-Fri,In Service
11055,AP101,DUKE ST,1,,In Service
11056,AP98,CORNWALLIS ST,3,Sunday Only,In Service
11057,AP149,SACKVILLE ST,2,,In Service
11058,AP94,COGSWELL ST,2,,In Service
11059,AP158,MAYNARD ST ,1,,In Service
11060,AP146,LOWER WATER ST,2,,In Service
11061,AP118,HENRY ST,1,,In Service
11062,AP85,BRUNSWICK ST,2,,In Service
11063,AP135,SPRING GARDEN RD,1,,In Service
11064,AP165,WELSFORD ST ,2,,In Service
11065,AP34,KAYE ST,3,,In Service
11066,AP84,BRENTON ST,1,,Out of Service
11067,AP67,PORTLAND ST,1,,In Service
11068,AP211,ROXTON RD,1,,In Service
11069,AP207,SPRING GARDEN RD,3,,In Service
11070,AP216,LIVINGSTONE PL,1,,In Service
11071,AP209,WOOD AVE,1,,Pending
11072,AP215,MAITLAND ST,1,8am-6pm Mon-Fri,In Service
11073,AP210,ROXTON RD,1,,In Service
11074,AP214,MAITLAND ST,2,,In Service
11075,AP208,PRINCE WILLIAM ST,1,,In Service
11076,AP212,PEPPERELL ST,1,,In Service
11077,AP213,OAK ST,1,,Pending
11078,AP225,PARKER ST,3,,In Service
11079,AP226,BARRINGTON ST,1,,In Service
11080,AP227,BARRINGTON ST,1,,In Service
11081,AP219,GOTTINGEN ST,1,,In Service
11082,AP129,ELM ST,1,,In Service
11083,AP217,LAWRENCE ST,2,,In Service
11084,AP218,IVANHOE ST,1,,In Service
11085,AP224,GRANVILLE ST,1,,In Service
11086,AP228,SMITH ST,1,,In Service
11087,AP223,HOLLIS ST,2,,Out of Service
11089,AP71,HASTINGS DR,2,Sunday Only,In Service
11090,AP133,SPRING GARDEN RD,2,,In Service
11091,AP97,CORNWALLIS ST,3,,In Service
11092,AP136,UNIVERSITY AVE,3,,In Service
11093,AP202,SELDON ST,1,Sunday Only,In Service
11094,AP154,GRANVILLE ST,1,,In Service
11095,AP93,COBURG RD,1,Sunday Only,In Service
11096,AP139,MORRIS ST,1,,In Service
11097,AP203,SEYMOUR ST,1,,In Service
11098,AP96,COLLEGE ST,2,,In Service
11099,AP126,SOUTH PARK ST,1,,In Service
11100,AP86,BRUNSWICK ST,8,,In Service
11101,AP112,CAMBRIDGE ST,1,,In Service
11102,AP137,MORRIS ST,1,,In Service
11103,AP153,GRANVILLE ST,2,,In Service
11104,AP121,SEYMOUR ST,1,,In Service
11105,AP63,KING ST,1,,In Service
11106,AP49,OCHTERLONEY ST,1,,In Service
11107,AP42,PRESTON ST,5,Sunday Only,In Service
